what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325348784670
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325348829763
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325348856440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325348875879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325348877229
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325348877341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349020415
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349039166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325349051760
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349053673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349077124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325349078236
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349107003
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349137091
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1325349157175
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349157210
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349159982
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349197447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1325349200985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349220112
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349262365
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349299630
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349304538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349307054
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1325349315421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349315454
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349317561
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349356270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349370716
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349372815
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349373791
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349376714
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349377752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349378968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349379732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349420925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349473881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1325349495526
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349507293
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325349511225
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349512157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325349514950
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349585412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349587086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1325349615063
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1325349617888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349649267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349657600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349662776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349663451
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325349687756
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1325349751902
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1325349757402
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1325349769687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1325349774091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349783690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325349785826
